feature1;feature2;feature3;feature4;feature5;feature6;feature7;feature8;feature9;feature10;feature11;feature12;feature13;feature14;feature15;feature16;class1;class2;class3;class4;class5;class6;class7
0.11397058823529407;0.3913043478260878;0.17518248175182574;0.6274509803921566;0.4175824175824162;0.0;0.224880382775119;0.04605263157894737;0.12561174551386647;0.012849023968371658;0.01538461538461534;0.21496815286624193;0.24338624338624396;0.05307855626326958;0.052293872313121686;0.026315789473684178;1;4;4;4;2;3;3
0.37132352941176555;0.3913043478260878;0.2035685320356865;0.4803921568627451;0.3820794590025345;0.016260162601626032;0.20574162679425836;0.03947368421052627;0.1158238172920065;0.011613540894489767;0.04273504273504271;0.25796178343949033;0.32804232804232825;0.04317055909412596;0.04363169714469048;0.01879699248120305;1;4;3;4;2;3;1
0.6029411764705883;0.34782608695652595;0.1549067315490678;0.426470588235294;0.39010989010988883;0.0731707317073171;0.15311004784689003;0.05263157894736848;0.16476345840130535;0.0049419322955275595;0.025641025641025595;0.1098726114649681;0.47619047619047544;0.04387827317763623;0.04331087584215597;0.03258145363408523;1;4;3;3;1;2;3
0.6985294117647062;0.4347826086956497;0.14760746147607476;0.37745098039215647;0.3634826711749775;0.0;0.16267942583732092;0.796052631578948;0.10277324632952688;0.007907091672844096;0.017094017094017117;0.11624203821656051;0.3915343915343912;0.047416843595187545;0.045235803657362954;0.056390977443608964;3;4;2;3;2;1;1
0.352941176470588;0.30434782608696354;0.11922141119221488;0.5294117647058826;0.4158918005071839;0.0731707317073171;0.17224880382775065;0.07236842105263155;0.11419249592169642;0.010378057820607878;0.029059829059829068;0.15605095541401215;0.38624338624338656;0.04387827317763623;0.05133140840551823;0.046365914786967416;1;3;1;1;2;1;3
0.5294117647058817;0.34782608695652595;0.16301703163017064;0.40686274509803927;0.3567202028740475;0.08536585365853659;0.24401913875598086;0.026315789473684185;0.1092985318107667;0.007907091672844096;0.03247863247863246;0.21656050955414055;0.32804232804232825;0.061571125265392546;0.05871029836381147;0.08771929824561395;1;4;1;2;1;1;1
0.0845588235294118;0.30434782608696354;0.15977291159772986;0.7156862745098038;0.46618765849534893;0.016260162601626032;0.18181818181818163;0.03289473684210528;0.1305057096247962;0.008648381517173242;0.010256410256410255;0.15127388535031788;0.4603174603174601;0.0368011323425336;0.03176130895091438;0.02756892230576439;3;4;1;3;1;1;1
0.19117647058823456;0.34782608695652595;0.1743714517437151;0.5490196078431374;0.3863060016906152;0.0;0.2009569377990435;0.04605263157894737;0.1615008156606852;0.010130961205831474;0.0239316239316239;0.1671974522292993;0.4074074074074065;0.04458598726114651;0.026948989412897074;0.040100250626566365;2;3;3;1;1;2;3
0.4669117647058816;0.30434782608696354;0.08191403081914067;0.4460784313725488;0.3770076077768367;0.04471544715447156;0.10047846889952175;0.07236842105263155;0.07504078303425755;0.017296763034346473;0.025641025641025595;0.09872611464968144;0.2222222222222225;0.046001415428167;0.027590632017966032;0.03007518796992481;1;4;1;2;1;2;2
0.13235294117647056;0.5217391304347884;0.18572587185725958;0.6274509803921566;0.4230769230769211;0.04471544715447156;0.22966507177033504;0.03289473684210528;0.12234910277324632;0.008401284902396841;0.01538461538461534;0.20063694267515916;0.3968253968253973;0.04175513092710546;0.034969521976259264;0.03132832080200502;1;2;3;2;1;3;1
0.6727941176470594;0.4782608695652265;0.15004055150040577;0.41666666666666724;0.39560439560439364;0.016260162601626032;0.17224880382775065;0.06578947368421056;0.08482871125611754;0.006177415369409462;0.006837606837606831;0.12261146496815291;0.32804232804232825;0.05095541401273886;0.020211742059672792;0.03132832080200502;2;1;1;2;1;1;1
0.7463235294117642;0.26086956521738724;0.21654501216545133;0.3333333333333335;0.32882502113271206;0.0;0.23444976076554988;0.09868421052631586;0.10766721044045661;0.008401284902396841;0.06837606837606831;0.21337579617834335;0.38095238095238043;0.056617126680820945;0.045877446262431905;0.06015037593984959;3;4;1;1;2;1;3
0.11764705882352942;0.26086956521738724;0.18085969180859757;0.6666666666666674;0.44505494505494353;0.04471544715447156;0.25837320574162664;0.04605263157894737;0.168026101141925;0.008895478131949585;0.008547008547008558;0.22770700636942615;0.2539682539682532;0.0629865534324133;0.04619826756496635;0.043859649122806994;1;4;4;4;1;3;4
0.3749999999999992;0.3913043478260878;0.14111922141119235;0.5245098039215692;0.41800507185122426;0.02845528455284553;0.23444976076554988;0.05263157894736848;0.17292006525285472;0.012849023968371658;0.05811965811965805;0.19904458598726057;0.3227513227513222;0.04387827317763623;0.04748155277510432;0.037593984962405944;3;4;2;3;2;1;3
0.6470588235294127;0.34782608695652595;0.17356042173560446;0.48529411764705965;0.45477599323753015;0.08536585365853659;0.16267942583732092;0.04605263157894737;0.12398042414355641;0.0046948356807511825;0.01538461538461534;0.14012738853503184;0.4814814814814816;0.046001415428167;0.04266923323708702;0.020050125313283262;3;3;3;3;1;3;3
0.34926470588235253;0.1304347826087011;0.14193025141930293;0.544117647058824;0.42645815722738656;0.2845528455284553;0.20574162679425836;0.06578947368421056;0.15823817292006553;0.006671608598962205;0.0239316239316239;0.15764331210191077;0.38624338624338656;0.038216560509554146;0.023419955085017676;0.035087719298245654;1;3;1;2;1;2;4
0.1066176470588236;0.34782608695652595;0.16220600162206086;0.642156862745098;0.4251901944209624;0.016260162601626032;0.22966507177033504;0.03289473684210528;0.17781402936378496;0.0034593526068692924;0.006837606837606831;0.17515923566878921;0.4814814814814816;0.03538570417551311;0.02438241899262114;0.012531328320801997;1;4;3;1;1;1;2
0.18750000000000092;0.26086956521738724;0.20600162206001663;0.5637254901960789;0.39560439560439364;0.04471544715447156;0.24880382775119572;0.04605263157894737;0.24632952691680274;0.013096120583148059;0.025641025641025595;0.20859872611464908;0.4179894179894172;0.03750884642604387;0.0205325633622073;0.02756892230576439;2;2;2;2;2;1;1
0.4816176470588237;0.21739130434782486;0.09083536090835412;0.44117647058823545;0.37616229923922057;0.05691056910569106;0.09569377990430564;0.10526315789473685;0.09624796084828707;0.010625154435384278;0.025641025641025595;0.11464968152866238;0.24867724867724852;0.046001415428167;0.035290343278793775;0.043859649122806994;1;1;1;1;1;1;1
0.16544117647058834;0.5217391304347884;0.20924574209245828;0.7549019607843146;0.5215553677092117;0.08536585365853659;0.2631578947368415;0.03947368421052627;0.1794453507340945;0.006918705213738608;0.01538461538461534;0.22611464968152908;0.35449735449735437;0.04033970276008492;0.03015720243824197;0.051378446115288266;1;3;1;3;2;3;2
0.6580882352941173;0.3913043478260878;0.08029197080292029;0.39215686274509787;0.3693998309382915;0.016260162601626032;0.1674641148325358;0.08552631578947376;0.09135399673735735;0.006671608598962205;0.010256410256410255;0.12261146496815291;0.31216931216931143;0.05803255484784171;0.029836381135707458;0.026315789473684178;3;4;4;3;1;1;1
0.8639705882352952;0.4782608695652265;0.20681265206812727;0.5539215686274508;0.5773457311918827;0.0;0.24401913875598086;0.05263157894736848;0.1386623164763461;0.004200642451198427;0.03418803418803416;0.23566878980891762;0.3650793650793651;0.05732484076433132;0.05133140840551823;0.04260651629072679;2;4;1;1;1;3;1
0.11397058823529407;0.26086956521738724;0.18815896188159062;0.6813725490196088;0.4535080304311059;0.0;0.23444976076554988;0.04605263157894737;0.14192495921696574;0.01186063750926617;0.017094017094017117;0.23089171974522335;0.22751322751322706;0.06864826610049528;0.06641000962463894;0.07518796992481197;1;4;4;1;1;2;2
0.3749999999999992;0.5217391304347884;0.1330089213300895;0.534313725490196;0.4260355029585785;0.0;0.224880382775119;0.05263157894736848;0.15334420880913527;0.01186063750926617;0.054700854700854666;0.18630573248407636;0.3015873015873007;0.04033970276008492;0.047160731472569876;0.03258145363408523;1;3;1;2;1;2;1
0.6727941176470594;0.4782608695652265;0.16463909164639187;0.44117647058823545;0.41885038038884037;0.0;0.1578947368421049;0.05263157894736848;0.1092985318107667;0.00593031875463306;0.025641025641025595;0.1098726114649681;0.4708994708994709;0.04246284501061569;0.040423484119345585;0.025062656641603967;1;2;3;3;1;3;1
0.345588235294117;0.26086956521738724;0.1216545012165459;0.48529411764705965;0.37954353338968605;0.21544715447154528;0.17224880382775065;0.07894736842105265;0.13376835236541584;0.00593031875463306;0.029059829059829068;0.16242038216560506;0.37566137566137586;0.045293701344656774;0.02951555983317295;0.03007518796992481;2;3;1;2;1;1;1
0.09926470588235294;0.4347826086956497;0.14517437145174458;0.6127450980392164;0.40321217244293994;0.016260162601626032;0.19138755980861252;0.03289473684210528;0.14029363784665566;0.006177415369409462;0.008547008547008558;0.15764331210191077;0.46560846560846475;0.03609341825902338;0.04812319538017334;0.010025062656641602;1;3;3;1;1;1;1
0.19117647058823456;0.34782608695652595;0.18815896188159062;0.5735294117647067;0.403634826711748;0.0731707317073171;0.22009569377990412;0.05263157894736848;0.15008156606851564;0.013343217197924402;0.0239316239316239;0.18630573248407636;0.3915343915343912;0.039631988676574643;0.014436958614051962;0.043859649122806994;2;3;2;3;1;1;2
0.47426470588235264;0.34782608695652595;0.08678021086780272;0.4362745098039221;0.37024513947590765;0.04471544715447156;0.09569377990430564;0.08552631578947376;0.10277324632952688;0.00370644922164567;0.029059829059829068;0.08757961783439491;0.19576719576719642;0.04104741684359519;0.035290343278793775;0.04511278195488721;1;3;1;1;1;3;2
0.12132352941176475;0.4347826086956497;0.19626926196269343;0.5833333333333337;0.39010989010988883;0.10162601626016263;0.25358851674641175;0.03947368421052627;0.15008156606851564;0.00938967136150239;0.01196581196581195;0.20700636942675202;0.3650793650793651;0.05095541401273886;0.04331087584215597;0.07644110275689218;1;2;1;2;1;1;1
0.6507352941176463;0.3913043478260878;0.13138686131386912;0.41176470588235264;0.3863060016906152;0.0;0.16267942583732092;0.07236842105263155;0.09624796084828707;0.006671608598962205;0.010256410256410255;0.12261146496815291;0.3068783068783068;0.05449398443029033;0.03914019890920762;0.0288220551378446;1;3;1;3;1;1;1
0.7904411764705885;0.3913043478260878;0.18004866180048693;0.40196078431372584;0.40490278951817216;0.0;0.24880382775119572;0.03947368421052627;0.1288743882544861;0.02891030392883622;0.02051282051282051;0.20859872611464908;0.3439153439153436;0.06652512384996467;0.04266923323708702;0.03884711779448615;2;3;1;1;1;1;1
0.1066176470588236;0.17391304347826297;0.3130575831305772;0.24999999999999975;0.16483516483516383;0.21544715447154528;0.35885167464114837;0.07236842105263155;0.022838499184339337;0.0936496170002472;0.06324786324786322;0.5541401273885348;0.523809523809523;0.2094833687190375;0.2730189284568496;0.5902255639097742;1;1;1;1;1;1;3
0.3823529411764703;0.21739130434782486;0.3446877534468787;0.22058823529411817;0.17624683009298361;0.43089430894308944;0.3540669856459323;0.04605263157894737;0.02773246329526917;0.13021991598715132;0.0735042735042734;0.441082802547771;0.5026455026455031;0.06227883934890293;0.11260827718960584;0.1691729323308267;2;1;1;1;1;1;3
0.7426470588235287;0.17391304347826297;0.2311435523114366;0.16666666666666718;0.1639898562975477;0.9308943089430901;0.24880382775119572;0.09210526315789475;0.009787928221859716;0.0046948356807511825;0.01538461538461534;0.2324840764331204;0.6190476190476181;0.08067940552016961;0.09688803336541563;0.20300751879699197;2;1;1;1;1;1;3
0.39338235294117685;0.1304347826087011;0.1719383617193841;0.38235294117647106;0.3081149619611147;0.5000000000000006;0.2966507177033491;0.05263157894736848;0.08482871125611754;0.00963676797627873;0.017094017094017117;0.19904458598726057;0.4444444444444448;0.039631988676574643;0.02598652550529362;0.09273182957393479;1;1;1;1;1;1;4
0.5257352941176481;0.17391304347826297;0.18653690186536934;0.09803921568627456;0.08537616229923893;0.2845528455284553;0.3253588516746407;0.03947368421052627;0.009787928221859716;0.010130961205831474;0.03418803418803416;0.1799363057324835;0.43386243386243406;0.04033970276008492;0.03785691369906965;0.06140350877192981;2;1;1;1;1;1;4
0.15441176470588236;0.21739130434782486;0.18815896188159062;0.4656862745098036;0.3186813186813174;0.21544715447154528;0.25837320574162664;0.04605263157894737;0.15660685154975545;0.01704966641957007;0.0017094017094017116;0.31050955414012726;0.656084656084655;0.07784854918612863;0.07635547000320812;0.09774436090225563;2;1;1;1;1;1;2
